timeStamp,styleid,name,rating,reviewCount,priceNow,priceWas,size,inventory
2016-04-14T11:20:10.018,570172107,CUTOUT SANDALS,NA,0,107.80,NA,5,4
2016-04-14T11:20:10.018,570172107,CUTOUT SANDALS,NA,0,107.80,NA,5.5,3
2016-04-14T11:20:10.018,570172107,CUTOUT SANDALS,NA,0,107.80,NA,6,13
2016-04-14T11:20:10.018,570172107,CUTOUT SANDALS,NA,0,107.80,NA,6.5,13
2016-04-14T11:20:10.018,570172107,CUTOUT SANDALS,NA,0,107.80,NA,7,20+
2016-04-14T11:20:10.018,570172107,CUTOUT SANDALS,NA,0,107.80,NA,7.5,20+
2016-04-14T11:20:10.018,570172107,CUTOUT SANDALS,NA,0,107.80,NA,8,20+
2016-04-14T11:20:10.018,570172107,CUTOUT SANDALS,NA,0,107.80,NA,8.5,20+
2016-04-14T11:20:10.018,570172107,CUTOUT SANDALS,NA,0,107.80,NA,9,20+
2016-04-14T11:20:10.018,570172107,CUTOUT SANDALS,NA,0,107.80,NA,9.5,20+
2016-04-14T11:20:10.018,570172107,CUTOUT SANDALS,NA,0,107.80,NA,10,14
2016-04-14T11:20:10.018,570172107,CUTOUT SANDALS,NA,0,107.80,NA,11,4
2016-04-14T11:20:10.018,570176076,RED JASPER BRACELET SET,NA,0,55.00,NA,NA,20+
2016-04-14T11:20:10.018,570173069,PAVE AND LEATHER LONG PENDANT NECKLACE,5,2,60.50,NA,NA,20+
2016-04-14T11:20:10.018,570145236,GOLDEN WIDE STRETCH BRACELET,4.4,9,55.00,NA,NA,20+
2016-04-14T11:20:10.018,570172895,SILK FLORAL SQUARE SCARF,NA,0,85.80,NA,NA,20+
2016-04-14T11:20:10.018,570176041,WOVEN PULLBACK BELT,NA,0,70.40,NA,XXS,7
2016-04-14T11:20:10.018,570176041,WOVEN PULLBACK BELT,NA,0,70.40,NA,XS,18
2016-04-14T11:20:10.018,570176041,WOVEN PULLBACK BELT,NA,0,70.40,NA,S,20+
2016-04-14T11:20:10.018,570176041,WOVEN PULLBACK BELT,NA,0,70.40,NA,M,20+
2016-04-14T11:20:10.018,570176041,WOVEN PULLBACK BELT,NA,0,70.40,NA,L,20+
2016-04-14T11:20:10.018,570176041,WOVEN PULLBACK BELT,NA,0,70.40,NA,XXL,4
2016-04-14T11:20:10.018,570176041,WOVEN PULLBACK BELT,NA,0,70.40,NA,XL,11
2016-04-14T11:20:10.018,570172788,FRINGE SHELL COLLAR NECKLACE,5,1,60.50,NA,NA,20+
2016-04-14T11:20:10.018,570178149,JET BEADED DROP TASSEL NECKLACE,NA,0,60.50,NA,NA,20+
2016-04-14T11:20:10.018,570176037,PAVE SQUARE STUD EARRINGS,NA,0,27.50,NA,NA,20+
2016-04-14T11:20:10.018,570175248,SMOOTH OVAL HOOP EARRINGS,NA,0,33.00,NA,NA,20+
2016-04-14T11:20:10.018,570070047,SQUARE CUBIC ZIRCONIA PAVE STUD,4.5,26,30.80,NA,NA,20+
2016-04-14T11:20:10.018,570170568,SLIDE-BUCKLE BELT,NA,0,52.80,NA,XXL,14
2016-04-14T11:20:10.018,570170568,SLIDE-BUCKLE BELT,NA,0,52.80,NA,XXS,20+
2016-04-14T11:20:10.018,570170568,SLIDE-BUCKLE BELT,NA,0,52.80,NA,XS,20+
2016-04-14T11:20:10.018,570170568,SLIDE-BUCKLE BELT,NA,0,52.80,NA,S,20+
2016-04-14T11:20:10.018,570170568,SLIDE-BUCKLE BELT,NA,0,52.80,NA,M,20+
2016-04-14T11:20:10.018,570170568,SLIDE-BUCKLE BELT,NA,0,52.80,NA,L,20+
2016-04-14T11:20:10.018,570170568,SLIDE-BUCKLE BELT,NA,0,52.80,NA,XL,20+
2016-04-14T11:20:10.018,570173026,HALF MOON DROP COLLAR NECKLACE,NA,0,55.00,NA,NA,20+
2016-04-14T11:20:10.018,570175240,SMOOTH OVAL HOOP EARRINGS,NA,0,33.00,NA,NA,20+
2016-04-14T11:20:10.018,570175244,SHELL OVAL DROP HOOP EARRINGS,NA,0,33.00,NA,NA,20+
